M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
5120,17408,1,6,1,32,1402.3680399999998,1400.762695,1419.023985,"[1400.762695, 1419.023985, 1402.3680399999998]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,7,1,32,313.781325,312.04268,314.21333000000004,"[313.781325, 314.21333000000004, 312.04268]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,7,2,32,207.24799000000002,207.19466,207.61067,"[207.19466, 207.61067, 207.24799000000002]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,7,4,32,151.242665,150.933335,151.39733,"[151.242665, 151.39733, 150.933335]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,8,4,32,300.03200000000004,299.983995,302.362655,"[300.03200000000004, 302.362655, 299.983995]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,9,4,32,156.62932999999998,156.22933,156.79466,"[156.22933, 156.79466, 156.62932999999998]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",3924,5120,0.02201029526,1.97856485e-08,1.205050965e-07
5120,5120,4,0,1,32,1735.17871,1735.119995,1747.13599,"[1735.17871, 1735.119995, 1747.13599]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,1,1,32,1491.477355,1491.39734,1496.88544,"[1491.39734, 1491.477355, 1496.88544]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,2,1,32,301.034665,300.970675,301.13599999999997,"[301.13599999999997, 300.970675, 301.034665]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,2,2,32,189.402665,189.376,189.70665,"[189.70665, 189.402665, 189.376]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,2,4,8,124.15999500000001,124.07466,124.719995,"[124.15999500000001, 124.07466, 124.719995]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",14705,20480,0.01441268589,4.490311997e-08,1.180431007e-07
5120,5120,4,2,4,16,131.04532999999998,130.32533,131.376,"[131.376, 130.32533, 131.04532999999998]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",13420,20480,0.01240423773,4.430391051e-08,1.067854869e-07
5120,5120,4,2,4,32,134.890665,134.77334000000002,135.317335,"[134.77334000000002, 134.890665, 135.317335]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,3,4,32,342.789335,341.35465999999997,343.78134,"[343.78134, 341.35465999999997, 342.789335]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,4,4,8,142.15466500000002,141.322665,142.298665,"[142.15466500000002, 141.322665, 142.298665]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",16111,20480,0.01279646328,4.490311997e-08,1.191032636e-07
5120,5120,4,4,4,32,143.578665,143.36533,143.75466999999998,"[143.578665, 143.36533, 143.75466999999998]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",15497,20480,0.01066341363,3.14762624e-08,1.017899821e-07
5120,5120,4,5,1,32,1752.5173300000001,1752.27734,1769.866695,"[1769.866695, 1752.5173300000001, 1752.27734]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,6,1,32,1484.1333,1484.01587,1484.81073,"[1484.81073, 1484.1333, 1484.01587]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,7,1,32,303.67465000000004,303.514665,304.026655,"[304.026655, 303.514665, 303.67465000000004]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,7,2,32,191.55733,191.13067,191.74933,"[191.55733, 191.13067, 191.74933]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,7,4,32,137.81867,137.584,137.90933,"[137.90933, 137.584, 137.81867]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,8,4,32,340.010665,339.962645,340.77869,"[339.962645, 340.77869, 340.010665]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
5120,5120,4,9,4,32,144.74667499999998,144.554665,145.066675,"[145.066675, 144.74667499999998, 144.554665]","['1788871557065342929', '1788871582389873903', '1788871646326774066']",15497,20480,0.01066341363,3.14762624e-08,1.017899821e-07
