gpu,M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
1,5120,17408,1,12,4,32,117.957335,117.93065999999999,118.314665,"[117.957335, 118.314665, 117.93065999999999]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,13,8,32,209.52534500000002,209.42933499999998,210.28268,"[209.52534500000002, 210.28268, 209.42933499999998]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,14,2,32,114.52267,114.35200499999999,114.752,"[114.752, 114.52267, 114.35200499999999]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,14,4,32,120.122665,120.08533,120.18133499999999,"[120.122665, 120.08533, 120.18133499999999]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,17,4,32,115.52533,115.269335,115.584005,"[115.584005, 115.269335, 115.52533]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,30,4,32,271.125335,269.290665,271.797335,"[269.290665, 271.125335, 271.797335]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,31,4,32,158.03734,157.706665,158.13334,"[158.03734, 157.706665, 158.13334]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,36,2,32,187.189345,186.976005,187.216,"[187.216, 186.976005, 187.189345]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,17408,5120,1,2,2,32,202.37868,201.93600500000002,203.109335,"[202.37868, 201.93600500000002, 203.109335]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,2,4,32,154.405335,154.09599,154.81601,"[154.09599, 154.405335, 154.81601]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,10,4,32,158.895995,158.77867500000002,158.94398999999999,"[158.77867500000002, 158.895995, 158.94398999999999]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,11,4,32,132.89066000000003,132.858665,133.00267000000002,"[132.858665, 133.00267000000002, 132.89066000000003]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,12,4,32,121.573335,121.52534,122.16533,"[121.573335, 121.52534, 122.16533]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,13,8,32,172.89067,172.27733,174.13333,"[172.89067, 172.27733, 174.13333]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,14,2,32,116.38933,116.34133,116.66133500000001,"[116.34133, 116.38933, 116.66133500000001]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,14,4,32,117.23733,116.821335,117.71199999999999,"[116.821335, 117.23733, 117.71199999999999]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,17,4,32,121.87733,121.733335,122.33067,"[121.87733, 121.733335, 122.33067]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,30,4,32,238.52801,238.20266500000002,238.762675,"[238.52801, 238.20266500000002, 238.762675]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,31,4,32,160.82666,160.42667,161.15733,"[160.82666, 160.42667, 161.15733]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
1,17408,5120,1,36,2,32,177.46667,176.512005,178.05867,"[177.46667, 176.512005, 178.05867]","['1788873337330407061', '1788873498390731110', '1788873659664308562']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
